,station_status,last_reported,is_returning,is_renting,num_docks_disabled,num_bikes_disabled,num_docks_available,station_id,num_bikes_available,is_installed,num_ebikes_available,eightd_has_available_keys,legacy_id,valet,eightd_active_station_services,starttime,timestamp,demand,supply
542,active,1605138288,1,1,0,1,1,3398,21,1,1,False,3398,,,1605139205,1605139205,0,0
543,active,1605138599,1,1,0,0,3,3399,21,1,0,False,3399,,,1605139205,1605139205,0,0
544,active,1605138449,1,1,0,2,10,3400,12,1,4,True,3400,,,1605139205,1605139205,0,1
545,active,1605138396,1,1,0,2,2,3402,19,1,0,False,3402,,,1605139205,1605139205,0,1
546,active,1605134123,1,1,0,0,1,3403,30,1,1,False,3403,,,1605139205,1605139205,0,0
547,active,1605136908,1,1,0,0,3,3404,24,1,0,False,3404,,,1605139205,1605139205,0,0
548,active,1605138994,1,1,0,0,19,3405,4,1,1,False,3405,,,1605139205,1605139205,0,0
549,active,1605137165,1,1,0,2,2,3407,19,1,0,False,3407,,,1605139205,1605139205,0,0
550,active,1605136433,1,1,0,0,6,3408,21,1,0,False,3408,,,1605139205,1605139205,1,0
551,active,1605138721,1,1,0,1,5,3409,42,1,2,False,3409,,,1605139205,1605139205,0,1
552,active,1605132556,1,1,0,0,0,3410,77,1,3,False,3410,,,1605139205,1605139205,0,0
553,active,1605139098,1,1,0,0,12,3411,15,1,0,False,3411,,,1605139205,1605139205,0,0
554,active,1605137071,1,1,0,1,5,3412,12,1,0,False,3412,,,1605139205,1605139205,0,0
555,active,1605138977,1,1,0,0,27,3414,6,1,2,False,3414,,,1605139205,1605139205,0,0
556,active,1605137806,1,1,0,0,17,3415,8,1,0,False,3415,,,1605139205,1605139205,0,0
557,active,1605138884,1,1,1,0,17,3416,7,1,0,False,3416,,,1605139205,1605139205,0,0
558,active,1605138967,1,1,0,0,0,3417,27,1,0,False,3417,,,1605139205,1605139205,0,0
559,active,1605138900,1,1,0,0,23,3418,10,1,1,False,3418,,,1605139205,1605139205,0,2
560,active,1605138991,1,1,0,1,1,3419,25,1,0,False,3419,,,1605139205,1605139205,1,0
561,active,1605138839,1,1,0,0,0,3420,21,1,0,False,3420,,,1605139205,1605139205,0,3
562,active,1605126549,1,1,0,1,0,3421,22,1,0,False,3421,,,1605139205,1605139205,0,0
563,active,1605134988,1,1,0,1,6,3422,14,1,0,False,3422,,,1605139205,1605139205,1,0
564,active,1605137985,1,1,0,1,21,3423,7,1,1,True,3423,,,1605139205,1605139205,2,0
565,active,1605137348,1,1,0,1,6,3424,20,1,1,False,3424,,,1605139205,1605139205,0,0
566,active,1605136176,1,1,0,3,21,3425,9,1,1,False,3425,,,1605139205,1605139205,1,0
567,active,1605138680,1,1,0,1,13,3429,25,1,3,False,3429,,,1605139205,1605139205,0,0
568,active,1605139202,1,1,0,2,22,3430,1,1,0,False,3430,,,1605139205,1605139205,1,0
569,active,1605139024,1,1,0,1,14,3435,30,1,2,False,3435,,,1605139205,1605139205,0,0
570,active,1605138891,1,1,0,1,9,3436,25,1,0,False,3436,,,1605139205,1605139205,0,1
571,active,1605139080,1,1,0,0,31,3437,8,1,3,False,3437,,,1605139205,1605139205,0,0
