,legacy_id,station_status,is_returning,station_id,num_bikes_available,eightd_has_available_keys,last_reported,is_installed,num_docks_disabled,num_bikes_disabled,is_renting,num_docks_available,num_ebikes_available,valet,eightd_active_station_services,starttime,timestamp,demand,supply
844,3829,active,1,3829,1,False,1604696271,1,0,0,1,23,1,,,1604696400,1604696400,0,0
845,3830,active,1,3830,0,False,1604696274,1,0,1,1,21,0,,,1604696400,1604696400,0,0
846,3831,active,1,3831,2,False,1604696370,1,0,1,1,32,0,,,1604696400,1604696400,0,1
847,3832,active,1,3832,1,False,1604695206,1,0,0,1,20,0,,,1604696400,1604696400,2,0
848,3833,active,1,3833,0,False,1604669780,1,0,0,1,18,0,,,1604696400,1604696400,0,0
849,3834,active,1,3834,2,False,1604695572,1,0,2,1,15,0,,,1604696400,1604696400,0,2
850,3835,active,1,3835,1,False,1604696326,1,0,0,1,21,0,,,1604696400,1604696400,0,1
851,3836,active,1,3836,0,False,1604695867,1,0,1,1,28,0,,,1604696400,1604696400,1,0
852,3837,active,1,3837,1,False,1604695532,1,0,0,1,28,0,,,1604696400,1604696400,0,0
853,3838,active,1,3838,0,False,1604695509,1,0,1,1,24,0,,,1604696400,1604696400,0,0
854,3839,active,1,3839,0,False,1604694129,1,0,0,1,29,0,,,1604696400,1604696400,0,0
855,3840,active,1,3840,3,False,1604694219,1,0,1,1,20,0,,,1604696400,1604696400,0,3
856,3841,active,1,3841,4,False,1604695712,1,0,1,1,20,0,,,1604696400,1604696400,0,0
857,3842,active,1,3842,0,False,1604693191,1,0,0,1,29,0,,,1604696400,1604696400,0,0
858,3843,active,1,3843,0,False,1604695973,1,0,2,1,21,0,,,1604696400,1604696400,0,0
859,3844,active,1,3844,3,False,1604696176,1,0,0,1,22,0,,,1604696400,1604696400,0,1
860,3845,active,1,3845,0,False,1604695042,1,0,1,1,20,0,,,1604696400,1604696400,2,0
861,3846,active,1,3846,1,False,1604693076,1,0,0,1,24,0,,,1604696400,1604696400,0,0
862,3847,active,1,3847,1,False,1604695443,1,0,0,1,24,0,,,1604696400,1604696400,1,0
863,3848,active,1,3848,0,False,1604696182,1,0,1,1,31,0,,,1604696400,1604696400,1,0
864,3849,active,1,3849,11,False,1604696250,1,0,0,1,6,0,,,1604696400,1604696400,1,0
865,3850,active,1,3850,14,False,1604694260,1,0,0,1,11,0,,,1604696400,1604696400,0,4
866,3851,active,1,3851,15,False,1604693060,1,0,0,1,5,1,,,1604696400,1604696400,0,0
867,3852,active,1,3852,15,False,1604696233,1,0,1,1,1,0,,,1604696400,1604696400,0,0
868,3853,active,1,3853,15,False,1604695346,1,0,0,1,5,1,,,1604696400,1604696400,3,0
869,3854,active,1,3854,14,False,1604695147,1,0,0,1,10,0,,,1604696400,1604696400,0,0
870,3855,active,1,3855,2,False,1604681750,1,0,0,1,20,0,,,1604696400,1604696400,0,1
871,3856,active,1,3856,6,False,1604695963,1,0,1,1,18,2,,,1604696400,1604696400,0,5
872,3857,active,1,3857,4,False,1604696235,1,0,0,1,15,0,,,1604696400,1604696400,0,0
873,3858,active,1,3858,17,False,1604695054,1,0,0,1,3,0,,,1604696400,1604696400,0,1
874,3859,active,1,3859,20,False,1604695804,1,0,0,1,0,0,,,1604696400,1604696400,0,0
875,3860,active,1,3860,2,False,1604696013,1,0,1,1,23,0,,,1604696400,1604696400,2,0
876,3861,active,1,3861,2,False,1604693762,1,0,0,1,18,0,,,1604696400,1604696400,1,0
877,3862,active,1,3862,0,False,1604695635,1,0,0,1,18,0,,,1604696400,1604696400,0,0
878,3863,active,1,3863,0,False,1604692480,1,0,0,1,18,0,,,1604696400,1604696400,0,0
879,3864,active,1,3864,0,False,1604695854,1,0,0,1,30,0,,,1604696400,1604696400,2,0
880,3865,active,1,3865,0,False,1604694604,1,0,1,1,23,0,,,1604696400,1604696400,0,0
881,3866,active,1,3866,1,False,1604695473,1,0,0,1,31,0,,,1604696400,1604696400,0,0
882,3867,active,1,3867,2,False,1604691485,1,0,0,1,27,1,,,1604696400,1604696400,0,1
883,3868,active,1,3868,2,False,1604695798,1,0,0,1,17,1,,,1604696400,1604696400,0,0
884,3869,active,1,3869,0,False,1604682350,1,0,0,1,24,0,,,1604696400,1604696400,0,0
885,3870,active,1,3870,0,False,1604692462,1,0,0,1,20,0,,,1604696400,1604696400,2,0
886,3871,active,1,3871,1,False,1604691231,1,0,1,1,28,0,,,1604696400,1604696400,0,1
887,3872,active,1,3872,2,False,1604696392,1,0,0,1,17,0,,,1604696400,1604696400,0,0
888,3873,active,1,3873,2,False,1604695560,1,0,0,1,15,0,,,1604696400,1604696400,0,2
889,3874,active,1,3874,2,False,1604693728,1,0,0,1,14,0,,,1604696400,1604696400,0,0
890,3875,active,1,3875,3,False,1604696235,1,0,1,1,11,0,,,1604696400,1604696400,0,0
891,3876,active,1,3876,6,False,1604696151,1,0,0,1,17,1,,,1604696400,1604696400,0,0
892,3877,active,1,3877,3,False,1604696255,1,0,0,1,22,1,,,1604696400,1604696400,0,2
893,3878,active,1,3878,1,False,1604696095,1,0,0,1,18,1,,,1604696400,1604696400,0,1
894,3879,active,1,3879,1,False,1604696333,1,0,0,1,24,0,,,1604696400,1604696400,0,1
895,3880,active,1,3880,4,False,1604695745,1,0,0,1,23,0,,,1604696400,1604696400,0,0
896,3881,active,1,3881,33,False,1604696326,1,0,1,1,5,0,,,1604696400,1604696400,0,2
