,num_docks_available,num_bikes_disabled,is_returning,last_reported,station_status,is_renting,num_ebikes_available,legacy_id,num_docks_disabled,is_installed,num_bikes_available,station_id,eightd_has_available_keys,eightd_active_station_services,valet,starttime,timestamp,demand,supply
570,3,1,1,1604685548,active,1,2,3436,0,1,31,3436,False,,,1604685595,1604685595,2.0,0.0
571,38,1,1,1604685555,active,1,0,3437,0,1,0,3437,False,,,1604685595,1604685595,0.0,0.0
572,11,2,1,1604685536,active,1,0,3440,0,1,34,3440,False,,,1604685595,1604685595,0.0,6.0
573,4,2,1,1604685444,active,1,8,3443,0,1,34,3443,False,,,1604685595,1604685595,1.0,0.0
574,17,1,1,1604685577,active,1,2,3452,0,1,25,3452,False,,,1604685595,1604685595,0.0,3.0
575,17,1,1,1604684882,active,1,0,3453,0,1,1,3453,False,,,1604685595,1604685595,0.0,1.0
576,17,1,1,1604685538,active,1,0,3454,0,1,6,3454,False,,,1604685595,1604685595,0.0,1.0
577,19,0,1,1604685232,active,1,0,3456,0,1,3,3456,False,,,1604685595,1604685595,0.0,0.0
578,0,0,0,1604635409,active,0,0,3457,46,1,0,3457,False,,,1604685595,1604685595,0.0,0.0
579,0,1,1,1604685562,active,1,0,3461,0,1,32,3461,False,,,1604685595,1604685595,0.0,1.0
580,20,1,1,1604685528,active,1,0,3462,0,1,18,3462,False,,,1604685595,1604685595,0.0,0.0
581,6,1,1,1604685474,active,1,2,3463,0,1,30,3463,False,,,1604685595,1604685595,2.0,0.0
582,2,0,1,1604685226,active,1,1,3467,0,1,42,3467,False,,,1604685595,1604685595,0.0,6.0
583,8,0,1,1604684264,active,1,0,3469,0,1,15,3469,False,,,1604685595,1604685595,0.0,1.0
584,9,1,1,1604685524,active,1,0,3472,0,1,29,3472,False,,,1604685595,1604685595,0.0,0.0
585,2,2,1,1604685080,active,1,1,3477,0,1,29,3477,False,,,1604685595,1604685595,2.0,0.0
586,0,1,1,1604684281,active,1,4,3478,0,1,42,3478,False,,,1604685595,1604685595,0.0,1.0
587,1,0,1,1604683228,active,1,0,3481,0,1,21,3481,False,,,1604685595,1604685595,0.0,4.0
588,4,0,1,1604681555,active,1,0,3483,0,1,10,3483,False,,,1604685595,1604685595,0.0,0.0
589,6,0,1,1604685219,active,1,1,3486,0,1,24,3486,False,,,1604685595,1604685595,0.0,3.0
590,5,0,1,1604685505,active,1,2,3490,0,1,26,3490,False,,,1604685595,1604685595,0.0,6.0
