,station_status,station_id,is_renting,is_returning,num_docks_disabled,num_bikes_available,num_ebikes_available,num_bikes_disabled,eightd_has_available_keys,legacy_id,last_reported,num_docks_available,is_installed,eightd_active_station_services,valet,starttime,timestamp,demand,supply
217,active,494,1,1,0,48,2,1,False,494,1605236255,17,1,,,1605236395,1605236395,0,1
218,active,495,1,1,0,33,5,1,False,495,1605236310,5,1,,,1605236395,1605236395,1,0
219,active,496,1,1,0,39,0,1,False,496,1605236101,25,1,,,1605236395,1605236395,0,1
220,active,497,1,1,0,20,0,5,False,497,1605235811,41,1,,,1605236395,1605236395,0,1
221,active,499,1,1,0,28,2,0,True,499,1605235221,8,1,,,1605236395,1605236395,0,2
222,active,500,1,1,0,27,0,1,False,500,1605234300,24,1,,,1605236395,1605236395,0,0
223,active,501,1,1,0,23,0,3,False,501,1605235986,57,1,,,1605236395,1605236395,0,2
224,active,502,1,1,0,27,6,2,False,502,1605235955,7,1,,,1605236395,1605236395,5,0
225,active,503,1,1,0,17,0,0,False,503,1605235915,14,1,,,1605236395,1605236395,3,0
226,active,504,1,1,0,25,2,0,False,504,1605236244,29,1,,,1605236395,1605236395,2,0
227,active,505,1,1,0,40,0,1,False,505,1605236313,11,1,,,1605236395,1605236395,0,1
228,active,507,1,1,0,21,1,1,False,507,1605236168,23,1,,,1605236395,1605236395,5,0
229,active,508,1,1,0,7,3,1,False,508,1605234517,17,1,,,1605236395,1605236395,0,0
230,active,509,1,1,0,57,4,2,False,509,1605236345,2,1,,,1605236395,1605236395,0,5
231,active,510,0,0,0,25,0,6,False,510,1605222119,24,1,,,1605236395,1605236395,0,0
232,active,513,1,1,0,9,1,1,False,513,1605236180,19,1,,,1605236395,1605236395,0,0
233,active,514,1,1,0,44,6,2,True,514,1605236351,6,1,,,1605236395,1605236395,1,0
234,active,515,1,1,0,36,2,2,False,515,1605235495,41,1,,,1605236395,1605236395,1,0
235,active,516,1,1,0,16,2,4,False,516,1605235337,11,1,,,1605236395,1605236395,0,1
236,active,517,1,1,0,5,0,4,False,517,1605234666,60,1,,,1605236395,1605236395,0,0
237,active,519,1,1,0,34,0,0,False,519,1605235193,35,1,,,1605236395,1605236395,0,1
238,active,522,1,1,0,24,0,0,False,522,1605234882,27,1,,,1605236395,1605236395,3,0
239,active,525,1,1,0,18,0,0,False,525,1605235857,38,1,,,1605236395,1605236395,0,1
240,active,526,1,1,0,11,0,0,False,526,1605235976,29,1,,,1605236395,1605236395,0,2
241,active,528,1,1,0,32,1,4,False,528,1605236274,3,1,,,1605236395,1605236395,0,2
242,active,529,1,1,0,37,15,2,False,529,1605235020,2,1,,,1605236395,1605236395,0,0
243,active,530,1,1,0,18,1,0,False,530,1605236321,6,1,,,1605236395,1605236395,0,1
244,active,531,1,1,0,59,3,1,False,531,1605234501,0,1,,,1605236395,1605236395,0,2
245,active,532,1,1,0,23,1,5,False,532,1605235986,15,1,,,1605236395,1605236395,1,0
246,active,533,1,1,0,13,0,1,False,533,1605235090,32,1,,,1605236395,1605236395,0,2
247,active,534,1,1,0,25,0,2,False,534,1605235775,4,1,,,1605236395,1605236395,0,0
248,active,536,1,1,0,4,2,3,False,536,1605235716,21,1,,,1605236395,1605236395,3,0
249,active,539,1,1,0,20,0,1,False,539,1605235979,10,1,,,1605236395,1605236395,1,0
250,active,540,1,1,0,22,1,0,False,540,1605235766,32,1,,,1605236395,1605236395,0,1
251,active,545,1,1,0,25,1,0,False,545,1605236024,2,1,,,1605236395,1605236395,0,1
252,active,546,1,1,0,13,1,1,False,546,1605235772,31,1,,,1605236395,1605236395,0,1
253,active,2000,1,1,0,35,0,0,False,2000,1605233086,22,1,,,1605236395,1605236395,0,0
254,active,2002,1,1,0,17,2,5,False,2002,1605235554,5,1,,,1605236395,1605236395,0,0
255,active,2003,1,1,0,22,4,2,False,2003,1605235701,30,1,,,1605236395,1605236395,1,0
256,active,2005,1,1,0,10,0,0,False,2005,1605232392,2,1,,,1605236395,1605236395,0,0
257,active,2006,1,1,1,34,2,2,True,2006,1605235387,12,1,,,1605236395,1605236395,0,2
258,active,2008,1,1,0,6,0,1,True,2008,1605235342,17,1,,,1605236395,1605236395,3,0
259,active,2009,1,1,0,29,1,4,False,2009,1605235902,2,1,,,1605236395,1605236395,2,0
260,active,2010,1,1,0,42,1,0,False,2010,1605236306,23,1,,,1605236395,1605236395,0,0
261,active,2012,1,1,0,13,0,5,False,2012,1605235959,17,1,,,1605236395,1605236395,0,1
262,active,2017,1,1,0,1,0,1,False,2017,1605233333,37,1,,,1605236395,1605236395,1,0
263,active,2021,1,1,1,11,2,0,False,2021,1605234565,53,1,,,1605236395,1605236395,2,0
264,active,2022,1,1,0,4,1,0,False,2022,1605235558,29,1,,,1605236395,1605236395,0,1
265,active,3016,1,1,0,49,4,0,False,3016,1605236252,5,1,,,1605236395,1605236395,0,3
266,active,3041,1,1,0,16,5,0,False,3041,1605232435,8,1,,,1605236395,1605236395,4,0
267,active,3042,1,1,0,13,2,1,False,3042,1605234508,5,1,,,1605236395,1605236395,0,1
268,active,3043,1,1,0,13,1,1,False,3043,1605229189,5,1,,,1605236395,1605236395,0,0
269,active,3044,1,1,0,8,1,0,False,3044,1605236107,19,1,,,1605236395,1605236395,1,0
270,active,3046,1,1,0,5,2,0,False,3046,1605231735,14,1,,,1605236395,1605236395,2,0
271,active,3047,1,1,0,9,5,0,False,3047,1605236173,12,1,,,1605236395,1605236395,0,0
272,active,3048,1,1,0,6,3,0,False,3048,1605234935,13,1,,,1605236395,1605236395,1,0
273,active,3049,1,1,1,6,2,1,False,3049,1605235415,10,1,,,1605236395,1605236395,1,0
274,active,3050,1,1,0,12,0,0,False,3050,1605235754,9,1,,,1605236395,1605236395,1,0
275,active,3052,1,1,0,6,4,1,False,3052,1605234211,16,1,,,1605236395,1605236395,0,0
276,active,3053,1,1,0,2,1,1,False,3053,1605234489,20,1,,,1605236395,1605236395,2,0
277,active,3054,1,1,0,2,1,0,False,3054,1605235290,17,1,,,1605236395,1605236395,3,0
278,active,3055,1,1,0,1,1,0,False,3055,1605232915,22,1,,,1605236395,1605236395,2,0
279,active,3056,1,1,0,2,1,3,False,3056,1605234773,18,1,,,1605236395,1605236395,1,0
280,active,3057,1,1,0,6,2,0,False,3057,1605235980,12,1,,,1605236395,1605236395,1,0
