,legacy_id,num_ebikes_available,station_status,eightd_has_available_keys,num_docks_available,num_bikes_available,num_bikes_disabled,is_renting,last_reported,is_installed,num_docks_disabled,is_returning,station_id,valet,eightd_active_station_services,starttime,timestamp,demand,supply
252,546,0,active,False,39,5,1,1,1604980506,1,0,1,546,,,1604980805,1604980805,0,0
253,2000,0,active,False,10,46,1,1,1604978761,1,0,1,2000,,,1604980805,1604980805,0,1
254,2002,1,active,False,6,19,2,1,1604978556,1,0,1,2002,,,1604980805,1604980805,0,0
255,2003,1,active,False,4,47,3,1,1604980752,1,0,1,2003,,,1604980805,1604980805,0,0
256,2005,0,active,False,3,9,0,1,1604965527,1,0,1,2005,,,1604980805,1604980805,0,0
257,2006,0,active,True,44,0,5,1,1604979975,1,0,1,2006,,,1604980805,1604980805,0,0
258,2008,1,active,True,2,22,0,1,1604980640,1,0,1,2008,,,1604980805,1604980805,1,0
259,2009,1,active,False,0,35,0,1,1604980529,1,0,1,2009,,,1604980805,1604980805,0,0
260,2010,0,active,False,19,44,2,1,1604979875,1,0,1,2010,,,1604980805,1604980805,2,0
261,2012,0,active,False,28,5,2,1,1604980764,1,0,1,2012,,,1604980805,1604980805,0,0
262,2017,0,active,False,38,1,0,1,1604978745,1,0,1,2017,,,1604980805,1604980805,1,0
263,2021,0,active,False,52,10,2,1,1604980474,1,1,1,2021,,,1604980805,1604980805,2,0
264,2022,0,active,False,31,2,0,1,1604976470,1,0,1,2022,,,1604980805,1604980805,0,0
265,3016,2,active,False,3,50,1,1,1604980540,1,0,1,3016,,,1604980805,1604980805,0,2
266,3041,10,active,False,8,15,1,1,1604980615,1,0,1,3041,,,1604980805,1604980805,0,1
267,3042,4,active,False,1,17,1,1,1604980003,1,0,1,3042,,,1604980805,1604980805,1,0
268,3043,2,active,False,6,13,0,1,1604978086,1,0,1,3043,,,1604980805,1604980805,1,0
269,3044,1,active,False,25,2,0,1,1604979120,1,0,1,3044,,,1604980805,1604980805,0,0
270,3046,0,active,False,14,5,0,1,1604977323,1,0,1,3046,,,1604980805,1604980805,3,0
271,3047,5,active,False,9,9,3,1,1604976727,1,0,1,3047,,,1604980805,1604980805,2,0
272,3048,0,active,False,19,0,0,1,1604980005,1,0,1,3048,,,1604980805,1604980805,0,0
273,3049,3,active,False,7,10,0,1,1604979443,1,1,1,3049,,,1604980805,1604980805,0,1
274,3050,0,active,False,15,5,1,1,1604979569,1,0,1,3050,,,1604980805,1604980805,0,1
275,3052,6,active,False,6,15,2,1,1604980426,1,0,1,3052,,,1604980805,1604980805,0,0
276,3053,0,active,False,15,6,2,1,1604980085,1,0,1,3053,,,1604980805,1604980805,2,0
277,3054,6,active,False,7,12,0,1,1604979957,1,0,1,3054,,,1604980805,1604980805,1,0
278,3055,4,active,False,4,19,0,1,1604979026,1,0,1,3055,,,1604980805,1604980805,1,0
279,3056,0,active,False,18,4,1,1,1604980694,1,0,1,3056,,,1604980805,1604980805,1,0
280,3057,2,active,False,11,7,0,1,1604977020,1,0,1,3057,,,1604980805,1604980805,1,0
281,3058,2,active,False,17,7,0,1,1604979158,1,0,1,3058,,,1604980805,1604980805,1,0
282,3059,3,active,False,14,5,0,1,1604975917,1,0,1,3059,,,1604980805,1604980805,1,0
283,3060,1,active,False,11,8,0,1,1604979638,1,0,1,3060,,,1604980805,1604980805,1,0
284,3061,0,active,False,18,3,0,1,1604978311,1,0,1,3061,,,1604980805,1604980805,0,0
285,3062,1,active,False,19,4,0,1,1604979920,1,0,1,3062,,,1604980805,1604980805,3,0
286,3063,5,active,False,13,7,0,1,1604980146,1,0,1,3063,,,1604980805,1604980805,0,0
287,3064,3,active,False,18,3,1,1,1604976800,1,1,1,3064,,,1604980805,1604980805,0,0
288,3065,2,active,False,29,2,0,1,1604980178,1,0,1,3065,,,1604980805,1604980805,0,0
289,3066,2,active,False,13,5,1,1,1604980700,1,0,1,3066,,,1604980805,1604980805,0,0
290,3067,7,active,False,14,12,1,1,1604980465,1,0,1,3067,,,1604980805,1604980805,0,1
291,3068,0,active,False,34,8,0,1,1604971546,1,0,1,3068,,,1604980805,1604980805,1,0
292,3069,0,active,False,28,1,0,1,1604980335,1,0,1,3069,,,1604980805,1604980805,0,0
293,3070,4,active,False,14,9,0,1,1604980281,1,0,1,3070,,,1604980805,1604980805,0,0
294,3071,1,active,False,14,4,1,1,1604980443,1,0,1,3071,,,1604980805,1604980805,2,0
295,3072,5,active,False,13,9,2,1,1604980339,1,0,1,3072,,,1604980805,1604980805,1,0
296,3074,0,active,False,25,17,0,1,1604979614,1,0,1,3074,,,1604980805,1604980805,2,0
297,3075,1,active,False,31,2,0,1,1604974353,1,0,1,3075,,,1604980805,1604980805,0,1
298,3076,8,active,False,24,12,0,1,1604980049,1,0,1,3076,,,1604980805,1604980805,1,0
299,3077,6,active,False,13,20,0,1,1604980112,1,0,1,3077,,,1604980805,1604980805,0,1
300,3078,0,active,False,25,2,0,1,1604979498,1,0,1,3078,,,1604980805,1604980805,1,0
301,3080,1,active,False,16,5,0,1,1604980332,1,0,1,3080,,,1604980805,1604980805,0,0
302,3081,3,active,False,20,9,0,1,1604978855,1,0,1,3081,,,1604980805,1604980805,0,0
303,3082,7,active,False,6,15,4,1,1604978990,1,0,1,3082,,,1604980805,1604980805,0,1
304,3083,4,active,False,21,11,0,1,1604979759,1,0,1,3083,,,1604980805,1604980805,2,0
305,3085,1,active,False,5,20,0,1,1604979018,1,0,1,3085,,,1604980805,1604980805,1,0
306,3086,2,active,False,13,17,0,1,1604980164,1,0,1,3086,,,1604980805,1604980805,0,3
307,3087,1,active,False,6,23,1,1,1604979744,1,0,1,3087,,,1604980805,1604980805,0,1
308,3088,0,active,False,8,10,1,1,1604978932,1,0,1,3088,,,1604980805,1604980805,0,1
309,3092,0,active,False,3,24,0,1,1604979663,1,0,1,3092,,,1604980805,1604980805,1,0
310,3093,0,active,False,5,22,1,1,1604978088,1,0,1,3093,,,1604980805,1604980805,2,0
311,3094,3,active,False,10,7,0,1,1604978580,1,0,1,3094,,,1604980805,1604980805,0,0
312,3095,1,active,False,20,6,0,1,1604978514,1,0,1,3095,,,1604980805,1604980805,1,0
313,3096,1,active,False,9,26,3,1,1604980466,1,1,1,3096,,,1604980805,1604980805,0,5
314,3100,4,active,False,11,38,2,1,1604980266,1,0,1,3100,,,1604980805,1604980805,0,0
315,3101,0,active,False,0,0,14,1,1604980474,1,13,1,3101,,,1604980805,1604980805,0,0
316,3102,1,active,False,2,25,0,1,1604975989,1,0,1,3102,,,1604980805,1604980805,0,0
317,3105,0,active,False,5,18,1,1,1604980504,1,0,1,3105,,,1604980805,1604980805,0,1
318,3106,3,active,False,4,18,0,1,1604979045,1,0,1,3106,,,1604980805,1604980805,0,1
319,3107,1,active,False,3,36,0,1,1604978398,1,0,1,3107,,,1604980805,1604980805,1,0
320,3108,7,active,False,28,22,1,1,1604980710,1,0,1,3108,,,1604980805,1604980805,1,0
321,3109,3,active,False,1,30,0,1,1604980715,1,0,1,3109,,,1604980805,1604980805,0,0
322,3110,1,active,False,17,9,2,1,1604977393,1,0,1,3110,,,1604980805,1604980805,0,0
323,3112,4,active,False,8,25,0,1,1604980004,1,0,1,3112,,,1604980805,1604980805,0,1
324,3113,2,active,False,11,16,0,1,1604980694,1,0,1,3113,,,1604980805,1604980805,0,2
325,3115,3,active,False,0,50,0,1,1604980664,1,0,1,3115,,,1604980805,1604980805,0,0
326,3116,1,active,False,0,35,0,1,1604975931,1,0,1,3116,,,1604980805,1604980805,0,0
327,3117,6,active,False,3,22,2,1,1604977239,1,0,1,3117,,,1604980805,1604980805,0,1
328,3118,6,active,False,8,31,3,1,1604978021,1,0,1,3118,,,1604980805,1604980805,0,3
329,3119,3,active,False,31,14,0,1,1604980415,1,0,1,3119,,,1604980805,1604980805,0,1
330,3121,0,active,False,25,2,0,1,1604976464,1,0,1,3121,,,1604980805,1604980805,1,0
