,station_id,num_bikes_available,eightd_has_available_keys,last_reported,legacy_id,num_docks_available,num_ebikes_available,num_bikes_disabled,station_status,is_installed,num_docks_disabled,is_renting,is_returning,starttime,timestamp,demand,supply
186,460,19,False,1604239287,460,6,0,0,active,1,0,1,1,1604239360,1604239360,19,19
187,461,26,False,1604238874,461,30,0,0,active,1,0,1,1,1604239360,1604239360,26,26
188,462,53,False,1604239062,462,24,1,0,active,1,0,1,1,1604239360,1604239360,53,53
189,464,0,False,1604238443,464,53,0,0,active,1,0,1,1,1604239360,1604239360,0,0
190,465,4,False,1604239238,465,35,2,0,active,1,0,1,1,1604239360,1604239360,4,4
191,466,11,False,1604239031,466,15,2,1,active,1,8,1,1,1604239360,1604239360,11,11
192,467,29,False,1604238399,467,5,0,0,active,1,0,1,1,1604239360,1604239360,29,29
193,468,46,False,1604239144,468,15,41,4,active,1,0,1,1,1604239360,1604239360,46,46
194,469,45,False,1604239239,469,11,1,1,active,1,0,1,1,1604239360,1604239360,45,45
195,470,26,False,1604238413,470,45,0,1,active,1,0,1,1,1604239360,1604239360,26,26
196,471,27,False,1604237749,471,3,1,1,active,1,0,1,1,1604239360,1604239360,27,27
197,472,18,False,1604238790,472,36,0,1,active,1,0,1,1,1604239360,1604239360,18,18
198,473,34,False,1604238845,473,15,2,1,active,1,0,1,1,1604239360,1604239360,34,34
199,474,47,False,1604239237,474,7,1,2,active,1,0,1,1,1604239360,1604239360,47,47
200,476,31,False,1604239178,476,29,1,5,active,1,0,1,1,1604239360,1604239360,31,31
201,477,49,False,1604238637,477,21,0,1,active,1,0,1,1,1604239360,1604239360,49,49
202,478,18,False,1604238380,478,17,1,2,active,1,0,1,1,1604239360,1604239360,18,18
203,479,8,False,1604238850,479,19,1,4,active,1,0,1,1,1604239360,1604239360,8,8
204,480,11,False,1604239219,480,18,1,0,active,1,0,1,1,1604239360,1604239360,11,11
205,481,23,False,1604238364,481,2,0,0,active,1,0,1,1,1604239360,1604239360,23,23
206,482,60,False,1604239308,482,19,2,0,active,1,0,1,1,1604239360,1604239360,60,60
207,483,31,False,1604238631,483,3,0,0,active,1,0,1,1,1604239360,1604239360,31,31
208,484,11,False,1604236970,484,34,1,1,active,1,0,1,1,1604239360,1604239360,11,11
209,485,4,False,1604239208,485,36,0,0,active,1,0,1,1,1604239360,1604239360,4,4
210,486,17,False,1604238167,486,24,0,0,active,1,0,1,1,1604239360,1604239360,17,17
211,487,17,False,1604238346,487,15,0,3,active,1,0,1,1,1604239360,1604239360,17,17
212,489,13,False,1604239264,489,33,2,3,active,1,0,1,1,1604239360,1604239360,13,13
213,490,55,False,1604239210,490,8,3,3,active,1,0,1,1,1604239360,1604239360,55,55
214,492,58,False,1604238847,492,9,3,1,active,1,0,1,1,1604239360,1604239360,58,58
215,493,11,False,1604236123,493,22,0,1,active,1,0,1,1,1604239360,1604239360,11,11
216,494,40,False,1604238929,494,26,1,0,active,1,0,1,1,1604239360,1604239360,40,40
217,495,29,False,1604239233,495,9,2,1,active,1,0,1,1,1604239360,1604239360,29,29
218,496,50,False,1604239336,496,14,2,0,active,1,1,1,1,1604239360,1604239360,50,50
219,497,41,False,1604238952,497,23,0,2,active,1,0,1,1,1604239360,1604239360,41,41
220,499,5,True,1604239106,499,31,2,0,active,1,0,1,1,1604239360,1604239360,5,5
221,500,22,False,1604239288,500,29,0,1,active,1,0,1,1,1604239360,1604239360,22,22
222,501,47,False,1604239335,501,30,3,2,active,1,0,1,1,1604239360,1604239360,47,47
223,502,13,False,1604239100,502,22,0,1,active,1,0,1,1,1604239360,1604239360,13,13
224,503,5,False,1604238732,503,26,2,0,active,1,0,1,1,1604239360,1604239360,5,5
225,504,20,False,1604238594,504,33,0,1,active,1,0,1,1,1604239360,1604239360,20,20
226,505,34,False,1604239335,505,15,0,3,active,1,0,1,1,1604239360,1604239360,34,34
227,507,25,False,1604239314,507,20,0,0,active,1,0,1,1,1604239360,1604239360,25,25
